,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2020-12-21 05:00:00-05:00,1890.300048828125,1890.4000244140625,1859.0,1874.300048828125,0.0,0.0,0.0,
2020-12-21 06:00:00-05:00,1874.5,1887.5,1873.199951171875,1883.300048828125,11870.0,0.0,0.0,
2020-12-21 07:00:00-05:00,1883.5,1889.0,1882.5999755859375,1884.699951171875,8001.0,0.0,0.0,
2020-12-21 08:00:00-05:00,1884.800048828125,1889.5,1875.800048828125,1887.300048828125,20641.0,0.0,0.0,
2020-12-21 09:00:00-05:00,1887.4000244140625,1891.0,1882.199951171875,1885.5,18657.0,0.0,0.0,
2020-12-21 10:00:00-05:00,1885.5,1889.4000244140625,1882.300048828125,1882.699951171875,14556.0,0.0,0.0,
2020-12-21 11:00:00-05:00,1882.5999755859375,1887.0999755859375,1879.0,1885.5999755859375,10656.0,0.0,0.0,
2020-12-21 12:00:00-05:00,1885.5999755859375,1888.300048828125,1882.699951171875,1883.300048828125,6355.0,0.0,0.0,
2020-12-21 13:00:00-05:00,1883.199951171875,1884.5999755859375,1880.5999755859375,1882.300048828125,5531.0,0.0,0.0,
2020-12-21 14:00:00-05:00,1882.4000244140625,1885.0999755859375,1881.800048828125,1883.4000244140625,4137.0,0.0,0.0,
2020-12-21 15:00:00-05:00,1883.5,1884.300048828125,1879.0,1880.699951171875,7557.0,0.0,0.0,
2020-12-21 16:00:00-05:00,1881.0,1882.300048828125,1880.5999755859375,1882.300048828125,1080.0,0.0,0.0,
2020-12-21 18:00:00-05:00,1883.0,1886.699951171875,1881.5999755859375,1884.300048828125,0.0,0.0,0.0,
2020-12-21 19:00:00-05:00,1884.0999755859375,1885.300048828125,1883.0999755859375,1884.0999755859375,1261.0,0.0,0.0,
2020-12-21 20:00:00-05:00,1884.0999755859375,1887.5999755859375,1880.5999755859375,1886.4000244140625,5470.0,0.0,0.0,
2020-12-21 21:00:00-05:00,1886.4000244140625,1889.4000244140625,1885.5999755859375,1888.0999755859375,4907.0,0.0,0.0,
2020-12-21 22:00:00-05:00,1888.199951171875,1889.0999755859375,1884.5,1884.9000244140625,2748.0,0.0,0.0,
2020-12-21 23:00:00-05:00,1884.9000244140625,1887.9000244140625,1884.800048828125,1885.699951171875,2161.0,0.0,0.0,
2020-12-22 00:00:00-05:00,1885.5999755859375,1886.0999755859375,1879.0999755859375,1880.5999755859375,5917.0,0.0,0.0,
2020-12-22 01:00:00-05:00,1880.699951171875,1883.5,1873.199951171875,1875.0999755859375,9479.0,0.0,0.0,
2020-12-22 02:00:00-05:00,1875.0999755859375,1877.300048828125,1870.5,1873.300048828125,8400.0,0.0,0.0,
2020-12-22 03:00:00-05:00,1873.4000244140625,1878.5999755859375,1872.800048828125,1876.199951171875,5382.0,0.0,0.0,
2020-12-22 04:00:00-05:00,1876.199951171875,1878.199951171875,1874.5999755859375,1877.199951171875,4205.0,0.0,0.0,
2020-12-22 05:00:00-05:00,1877.0999755859375,1880.5999755859375,1876.9000244140625,1878.0,5051.0,0.0,0.0,
2020-12-22 06:00:00-05:00,1878.0999755859375,1879.5,1874.5,1876.9000244140625,5086.0,0.0,0.0,
2020-12-22 07:00:00-05:00,1877.0,1880.0999755859375,1875.300048828125,1877.4000244140625,7764.0,0.0,0.0,
2020-12-22 08:00:00-05:00,1877.300048828125,1884.300048828125,1877.0,1884.0999755859375,12020.0,0.0,0.0,
2020-12-22 09:00:00-05:00,1884.0999755859375,1886.699951171875,1877.800048828125,1878.800048828125,18913.0,0.0,0.0,
2020-12-22 10:00:00-05:00,1878.9000244140625,1881.9000244140625,1865.0999755859375,1865.800048828125,25836.0,0.0,0.0,
2020-12-22 11:00:00-05:00,1865.699951171875,1871.5999755859375,1864.5999755859375,1869.300048828125,17352.0,0.0,0.0,
2020-12-22 12:00:00-05:00,1869.199951171875,1872.4000244140625,1868.0999755859375,1872.0,7579.0,0.0,0.0,
2020-12-22 13:00:00-05:00,1871.9000244140625,1872.199951171875,1866.0999755859375,1866.5999755859375,6055.0,0.0,0.0,
2020-12-22 14:00:00-05:00,1866.5999755859375,1869.4000244140625,1864.699951171875,1869.199951171875,6309.0,0.0,0.0,
2020-12-22 15:00:00-05:00,1869.199951171875,1869.300048828125,1863.699951171875,1866.0,5643.0,0.0,0.0,
2020-12-22 16:00:00-05:00,1866.0,1866.9000244140625,1864.0,1864.800048828125,1875.0,0.0,0.0,
2020-12-22 18:00:00-05:00,1865.5999755859375,1869.5999755859375,1864.699951171875,1868.800048828125,0.0,0.0,0.0,
2020-12-22 19:00:00-05:00,1868.800048828125,1869.4000244140625,1866.199951171875,1868.5999755859375,3571.0,0.0,0.0,
2020-12-22 20:00:00-05:00,1868.5,1872.5,1868.0,1870.800048828125,7661.0,0.0,0.0,
2020-12-22 21:00:00-05:00,1870.5999755859375,1871.9000244140625,1866.0999755859375,1870.0999755859375,6196.0,0.0,0.0,
2020-12-22 22:00:00-05:00,1870.199951171875,1871.0999755859375,1868.4000244140625,1869.0999755859375,2647.0,0.0,0.0,
2020-12-22 23:00:00-05:00,1869.0999755859375,1871.699951171875,1869.0999755859375,1871.0,1466.0,0.0,0.0,
2020-12-23 00:00:00-05:00,1871.0999755859375,1872.699951171875,1869.5999755859375,1871.0999755859375,3346.0,0.0,0.0,
2020-12-23 01:00:00-05:00,1871.0999755859375,1871.0999755859375,1867.300048828125,1869.699951171875,3829.0,0.0,0.0,
2020-12-23 02:00:00-05:00,1869.800048828125,1872.199951171875,1869.0999755859375,1870.5999755859375,5011.0,0.0,0.0,
2020-12-23 03:00:00-05:00,1870.5999755859375,1874.4000244140625,1868.699951171875,1874.0,6994.0,0.0,0.0,
2020-12-23 04:00:00-05:00,1873.9000244140625,1877.0,1873.199951171875,1873.4000244140625,5593.0,0.0,0.0,
2020-12-23 05:00:00-05:00,1873.4000244140625,1874.300048828125,1868.5,1870.199951171875,5932.0,0.0,0.0,
2020-12-23 06:00:00-05:00,1870.199951171875,1871.0,1867.9000244140625,1869.0999755859375,5647.0,0.0,0.0,
2020-12-23 07:00:00-05:00,1869.0999755859375,1869.199951171875,1860.9000244140625,1865.0,12542.0,0.0,0.0,
2020-12-23 08:00:00-05:00,1865.0,1875.199951171875,1865.0,1873.199951171875,18350.0,0.0,0.0,
2020-12-23 09:00:00-05:00,1873.0999755859375,1883.699951171875,1870.800048828125,1881.800048828125,24699.0,0.0,0.0,
2020-12-23 10:00:00-05:00,1881.699951171875,1882.5999755859375,1875.0999755859375,1876.0,15249.0,0.0,0.0,
